RA,CÓDIGO TURMA,TURMA
11079709,DANHI5011-13SA,Políticas Educacionais A-Matutino (Santo André)
11079709,DANHT5013-15SA,Práticas de Ensino de Ciências e Matemática no Ensino Fundamental A-Matutino (Santo André)
21077113,NB2BCK0103-15SA,Física Quântica B2-Noturno (Santo André)
21077113,NAMCZB009-13SA,Geometria Não Euclidiana A-Noturno (Santo André)
21077113,NBNHI5011-13SA,Políticas Educacionais B-Noturno (Santo André)
21077113,NAMCTB021-17SA,Probabilidade A-Noturno (Santo André)
21081612,NAESTO011-17SB,Fundamentos de Desenho Técnico A-Noturno (São Bernardo)
21081612,NBBCN0404-15SB,Geometria Analítica B-Noturno (São Bernardo)
21081612,NA2BCM0504-15SB,Natureza da Informação A2-Noturno (São Bernardo)
11201721638,NB3BCN0402-15SA,Funções de Uma Variável B3-Noturno (Santo André)
11201721638,NA1BCN0404-15SA,Geometria Analítica A1-Noturno (Santo André)
11201721638,NB1BCM0504-15SA,Natureza da Informação B1-Noturno (Santo André)
21017613,NA1MCTA008-17SA,Computação Gráfica A1-Noturno (Santo André)
21017613,NAMCZA016-15SA,Gestão de projetos de software A-Noturno (Santo André)
21017613,NAMCZA028-13SA,Sistemas Multiagentes A-Noturno (Santo André)
11049814,NB3ESTA002-17SA,Circuitos Elétricos I B3-Noturno (Santo André)
11049814,NANHT3012-15SA,Física do Contínuo A-Noturno (Santo André)
11049814,NBESTI003-17SA,Transformadas em Sinais e Sistemas Lineares B-Noturno (Santo André)
11201721348,DB2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B2-Matutino (Santo André)
11201721348,DB4BCJ0204-15SA,Fenômenos Mecânicos B4-Matutino (Santo André)
11201721348,DB1BCN0402-15SA,Funções de Uma Variável B1-Matutino (Santo André)
11201721348,DB3BCN0404-15SA,Geometria Analítica B3-Matutino (Santo André)
11201721348,DB2BCM0504-15SA,Natureza da Informação B2-Matutino (Santo André)
11107815,DA1BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A1-Matutino (Santo André)"
11107815,DA1BCJ0204-15SA,Fenômenos Mecânicos A1-Matutino (Santo André)
11107815,DA1BCK0103-15SA,Física Quântica A1-Matutino (Santo André)
11107815,DAESTO012-17SA,Princípios de Administração A-Matutino (Santo André)
11075311,DAESTO016-17SA,Fenômenos de Transporte A-Matutino (Santo André)
11075311,DCBHO1101-15SB,Introdução à Economia C-Matutino (São Bernardo)
11075311,NBESTO008-17SA,Mecânica dos Sólidos I B-Noturno (Santo André)
11075311,NAESZG007-17SB,Simulação de Modelos de Gestão A-Noturno (São Bernardo)
11201721630,DA2BCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente A2-Matutino (São Bernardo)
11201721630,DA1BCJ0204-15SB,Fenômenos Mecânicos A1-Matutino (São Bernardo)
11201721630,DA2BCN0402-15SB,Funções de Uma Variável A2-Matutino (São Bernardo)
11201721630,DA2BCN0404-15SB,Geometria Analítica A2-Matutino (São Bernardo)
11201721630,DA1BCM0504-15SB,Natureza da Informação A1-Matutino (São Bernardo)
11102814,NAMCTA004-17SA,Arquitetura de Computadores A-Noturno (Santo André)
11102814,NB1ESTA002-17SA,Circuitos Elétricos I B1-Noturno (Santo André)
11102814,NA3MCTA028-15SA,Programação Estruturada A3-Noturno (Santo André)
